ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
12,1,2024-04-29 10:40:46,2024-04-29 10:40:46,<!-- wp:shortcode -->[woocommerce_my_account]<!-- /wp:shortcode -->,My account,,publish,closed,closed,,my-account,,,2024-04-29 10:40:46,2024-04-29 10:40:46,,0,http://petpalace.test/my-account/,0,page,,0
13,1,2024-04-29 10:40:46,0000-00-00 00:00:00,"<!-- wp:paragraph -->
<p><b>This is a sample page.</b></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Overview</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Our refund and returns policy lasts 30 days. If 30 days have passed since your purchase, we can’t offer you a full refund or exchange.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To be eligible for a return, your item must be unused and in the same condition that you received it. It must also be in the original packaging.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Several types of goods are exempt from being returned. Perishable goods such as food, flowers, newspapers or magazines cannot be returned. We also do not accept products that are intimate or sanitary goods, hazardous materials, or flammable liquids or gases.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Additional non-returnable items:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul>
<li>Gift cards</li>
<li>Downloadable software products</li>
<li>Some health and personal care items</li>
</ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>To complete your return, we require a receipt or proof of purchase.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Please do not send your purchase back to the manufacturer.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>There are certain situations where only partial refunds are granted:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul>
<li>Book with obvious signs of use</li>
<li>CD, DVD, VHS tape, software, video game, cassette tape, or vinyl record that has been opened.</li>
<li>Any item not in its original condition, is damaged or missing parts for reasons not due to our error.</li>
<li>Any item that is returned more than 30 days after delivery</li>
</ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<h2>Refunds</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Once your return is received and inspected, we will send you an email to notify you that we have received your returned item. We will also notify you of the approval or rejection of your refund.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are approved, then your refund will be processed, and a credit will automatically be applied to your credit card or original method of payment, within a certain amount of days.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading"">Late or missing refunds</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>If you haven’t received a refund yet, first check your bank account again.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Then contact your credit card company, it may take some time before your refund is officially posted.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Next contact your bank. There is often some processing time before a refund is posted.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you’ve done all of this and you still have not received your refund yet, please contact us at {email address}.</p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading"">Sale items</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Only regular priced items may be refunded. Sale items cannot be refunded.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Exchanges</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>We only replace items if they are defective or damaged. If you need to exchange it for the same item, send us an email at {email address} and send your item to: {physical address}.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Gifts</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If the item was marked as a gift when purchased and shipped directly to you, you’ll receive a gift credit for the value of your return. Once the returned item is received, a gift certificate will be mailed to you.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If the item wasn’t marked as a gift when purchased, or the gift giver had the order shipped to themselves to give to you later, we will send a refund to the gift giver and they will find out about your return.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Shipping returns</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To return your product, you should mail your product to: {physical address}.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>You will be responsible for paying for your own shipping costs for returning your item. Shipping costs are non-refundable. If you receive a refund, the cost of return shipping will be deducted from your refund.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Depending on where you live, the time it may take for your exchanged product to reach you may vary.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are returning more expensive items, you may consider using a trackable shipping service or purchasing shipping insurance. We don’t guarantee that we will receive your returned item.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Need help?</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Contact us at {email} for questions related to refunds and returns.</p>
<!-- /wp:paragraph -->",Refund and Returns Policy,,draft,closed,closed,,refund_returns,,,2024-04-29 10:40:46,0000-00-00 00:00:00,,0,http://petpalace.test/?page_id=13,0,page,,0
14,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Inter, sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/inter/inter.svg""}",Inter,,publish,closed,closed,,inter,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/inter/,0,wp_font_family,,0
15,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""\""Bodoni Moda\"", serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/bodoni-moda/bodoni-moda.svg""}",Bodoni Moda,,publish,closed,closed,,bodoni-moda,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/bodoni-moda/,0,wp_font_family,,0
16,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Overpass, sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/overpass/overpass.svg""}",Overpass,,publish,closed,closed,,overpass,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/overpass/,0,wp_font_family,,0
17,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""\""Albert Sans\"", sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/albert-sans/albert-sans.svg""}",Albert Sans,,publish,closed,closed,,albert-sans,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/albert-sans/,0,wp_font_family,,0
18,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Lora, serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/lora/lora.svg""}",Lora,,publish,closed,closed,,lora,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/lora/,0,wp_font_family,,0
19,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Montserrat, sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/montserrat/montserrat.svg""}",Montserrat,,publish,closed,closed,,montserrat,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/montserrat/,0,wp_font_family,,0
20,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Arvo, serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/arvo/arvo.svg""}",Arvo,,publish,closed,closed,,arvo,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/arvo/,0,wp_font_family,,0
21,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Rubik, sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/rubik/rubik.svg""}",Rubik,,publish,closed,closed,,rubik,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/rubik/,0,wp_font_family,,0
22,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Newsreader, serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/newsreader/newsreader.svg""}",Newsreader,,publish,closed,closed,,newsreader,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/newsreader/,0,wp_font_family,,0
23,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Cormorant, serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/cormorant/cormorant.svg""}",Cormorant,,publish,closed,closed,,cormorant,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/cormorant/,0,wp_font_family,,0
24,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""\""Work Sans\"", sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/work-sans/work-sans.svg""}",Work Sans,,publish,closed,closed,,work-sans,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/work-sans/,0,wp_font_family,,0
25,1,2024-04-29 10:42:01,2024-04-29 10:42:01,"{""fontFamily"":""Raleway, sans-serif"",""preview"":""https://s.w.org/images/fonts/17.7/previews/raleway/raleway.svg""}",Raleway,,publish,closed,closed,,raleway,,,2024-04-29 10:42:01,2024-04-29 10:42:01,,0,http://petpalace.test/2024/04/29/raleway/,0,wp_font_family,,0
26,1,2024-04-29 10:42:02,2024-04-29 10:42:02,"{""fontFamily"":""Inter"",""fontStyle"":""normal"",""fontWeight"":""400"",""src"":""http://petpalace.test/wp-content/uploads/fonts/UcCO3FwrK3iLTeHuS_fvQtMwCp50KnMw2boKoduKmMEVuLyfMZ1rib2Bg-4.woff2"",""preview"":""https://s.w.org/images/fonts/17.7/previews/inter/inter-400-normal.svg""}",inter;normal;400;100%;U+0-10FFFF,,publish,closed,closed,,internormal400100u0-10ffff,,,2024-04-29 10:42:02,2024-04-29 10:42:02,,14,http://petpalace.test/2024/04/29/internormal400100u0-10ffff/,0,wp_font_face,,0
27,1,2024-04-29 10:42:02,2024-04-29 10:42:02,"{""fontFamily"":""Inter"",""fontStyle"":""normal"",""fontWeight"":""500"",""src"":""http://petpalace.test/wp-content/uploads/fonts/UcCO3FwrK3iLTeHuS_fvQtMwCp50KnMw2boKoduKmMEVuI6fMZ1rib2Bg-4.woff2"",""preview"":""https://s.w.org/images/fonts/17.7/previews/inter/inter-500-normal.svg""}",inter;normal;500;100%;U+0-10FFFF,,publish,closed,closed,,internormal500100u0-10ffff,,,2024-04-29 10:42:02,2024-04-29 10:42:02,,14,http://petpalace.test/2024/04/29/internormal500100u0-10ffff/,0,wp_font_face,,0
